[GIN] 2018/11/02 - 16:55:24 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:58:37 | 500 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:59:17 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:59:41 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=2
[GIN] 2018/11/02 - 16:59:50 | 200 |            0s |             ::1 | GET      /api/menulist?page=2&limit=2
[GIN] 2018/11/02 - 17:26:02 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=2&limit=2
[GIN] 2018/11/02 - 17:26:11 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 17:38:08 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 17:39:11 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 17:39:22 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 17:39:37 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 17:41:22 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 17:50:55 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 17:50:56 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 17:51:04 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 17:55:27 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:23:10 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:24:46 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:24:46 | 404 |      1.0001ms |             ::1 | GET      /favicon.ico
[GIN] 2018/11/02 - 18:25:19 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10&page=1&limit=10
[GIN] 2018/11/02 - 18:26:02 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:26:08 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:26:09 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:26:09 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:26:09 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:26:10 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
